n,time
0,0.175673428000664
1,0.19590078100009123
2,0.4806391900001472
3,0.5334267850012111
4,0.5711864799995965
5,0.6045379090010101
6,0.6512528530001873
7,0.682410475999859
8,0.7340379469987965
9,0.7686802629996237
10,0.8078993770013767
11,0.8429617220008367
12,0.882597371999509
13,0.917309178999858
14,0.9681719009986409
15,1.0010911070003203
16,1.0576825389998703
17,1.1196940339996218
18,1.15559036599916
19,1.2063683409996884
20,1.2583670189997065
21,1.3207215839993296
22,1.3680755790010153
23,1.4190522589997272
24,1.4704463689995464
25,1.5181397380001727
26,1.5540467419996276
27,1.6103031880011258
28,1.6628502370003844
29,1.7016957369996817
30,1.7514029100002517
31,1.8037167319998844
32,1.8402290160011034
33,1.9699674259991298
34,2.0739584030015976
35,2.0679525310006284
36,2.093533422999826
37,2.1317473859999154
38,2.174923710001167
39,2.2236054980003246
40,2.2702699350011244
41,2.3070310359998984
42,2.365140223999333
43,2.410354122001081
44,2.4630067230009445
45,2.505428299000414
46,2.5448398309999902
47,2.629523749999862
48,2.6727059289987665
49,2.7241590869998618
50,2.7743959559993527
51,2.816240869999092
52,2.879532865999863
53,2.926413020999462
54,2.9722341659999074
55,3.020390347999637
56,3.063482559999102
57,3.1189453339993634
58,3.186521265999545
59,3.2464808840013575
60,3.2912722719993326
61,3.328384250000454
62,3.385180985000261
63,3.435159102000398
64,3.4906262420008716
65,3.5299550560011994
66,3.577738219000821
67,3.6178431249991263
68,3.6819911950005917
69,3.723919157999262
70,3.7819759079993673
71,3.8302209509984095
72,3.876332519999778
73,3.9174071209999966
74,3.9718518199988466
75,4.0309414620005555
76,4.078260599000714
77,4.12149823800064
78,4.1704341969998495
79,4.237764244999198
80,4.28574374100026
81,4.336419813998873
82,4.411936812000931
83,4.4560506739999255
84,4.494872897999812
85,4.547702077001304
86,4.588804709001124
87,4.629173225001068
88,4.698174469998776
89,4.740304494000156
90,4.791482787999485
91,4.834270858000309
92,4.8679228050004895
93,4.916870410999763
94,4.986922503001551
95,5.029182473999754
96,5.099877771001047
97,5.149514235999959
98,5.218555067000125
99,5.285596460000306
100,5.350311327998497
