n,time_itr,time_rec
0,0.06953261900343932,0.06616340699838474
1,0.0921028849988943,0.081686402001651
2,0.3488255529955495,0.2709646639996208
3,0.383070890995441,0.49418033500842284
4,0.4225822730077198,0.9056031190120848
5,0.46130937300040387,1.56046825600788
6,0.5016747480112826,2.642312973999651
7,0.5443124119919958,4.3130076980014564
8,0.5957883509981912,7.055926323009771
9,0.6237443470017752,11.435220384999411
10,0.6724529089988209,18.512263887998415
11,0.7281513950001681,30.22910569301166
12,0.7612445580016356,48.920927777013276
13,0.8038313190045301,79.75218704600411
14,0.8512048190023052,129.0392701689998
15,0.9119814729929203,208.01090797800862
